package,time,rtime,ctime,maxrss,maxcpu,maxth,nlines,ntests,nsubtests
workload/indexes,0,-1,0,282464,8.9,49,1,0,0
workload/interleavedpartitioned,0,-1,0,282464,8.9,49,1,0,0
workload/jsonload,0,-1,0,282464,8.9,49,1,0,0
workload/kv,0,-1,0,290752,8.9,55,1,0,0
workload/ledger,0,-1,0,295280,8.9,55,1,0,0
workload/movr,0.035,0.035,0,304756,8.7,59,4,0,0
workload/querybench,0,-1,0,282444,8.8,48,1,0,0
workload/querylog,0,-1,0,282444,9.0,48,1,0,0
workload/queue,0,-1,0,457364,9.0,49,1,0,0
workload/rand,0,-1,0,373276,9.0,49,1,0,0
workload/schemachange,0,-1,0,293204,9.0,49,1,0,0
